1 1:0.300451 2:0.260965 3:1.13999 4:-0.200212 5:1.57985 6:-0.165808 7:1.99389 8:-0.00314283 9:2.45793 10:0.185225 11:0.115704 12:0.182626 13:0.0824106 14:0.168057 15:0.134812 16:1.24086 17:1.60043 18:1.73958 19:1.52413 20:1.34216
1 1:0.249326 2:0.403356 3:1.09507 4:-0.128373 5:1.48389 6:-0.0771307 7:1.91359 8:0.0579228 9:2.45145 10:0.146849 11:0.134302 12:0.174634 13:0.0456602 14:0.163095 15:0.166966 16:1.27507 17:1.55027 18:1.68538 19:1.54582 20:1.3328
1 1:0.360398 2:0.20824 3:1.08972 4:-0.0720004 5:1.50703 6:-0.0805006 7:1.95021 8:0.0191082 9:2.46033 10:0.126141 11:0.108091 12:0.184112 13:0.055593 14:0.227061 15:0.166923 16:1.23667 17:1.63319 18:1.68412 19:1.57536 20:1.32179
1 1:0.328569 2:0.266057 3:1.1621 4:-0.032074 5:1.52398 6:0.116652 7:1.86759 8:0.274715 9:2.39121 10:0.408472 11:0.0762474 12:0.183434 13:0.0650262 14:0.147524 15:0.186386 16:1.33456 17:1.75361 18:1.72049 19:1.57915 20:1.2683
1 1:0.327718 2:0.136776 3:1.12865 4:-0.131729 5:1.4804 6:-0.0964031 7:1.80589 8:0.0759265 9:2.28875 10:0.228352 11:0.0998828 12:0.229728 13:0.129498 14:0.0816584 15:0.202855 16:1.30323 17:1.76257 18:1.86533 19:1.70084 20:1.36482
6 1:0.994219 2:1.09258 3:1.30486 4:-0.00683033 5:1.50279 6:0.0396188 7:2.03625 8:0.333795 9:2.84682 10:0.613517 11:0.193365 12:0.161783 13:0.0605473 14:0.455914 15:0.357027 16:0.735483 17:1.04894 18:1.02417 19:0.658976 20:0.601523
6 1:0.539467 2:0.945957 3:1.11351 4:0.173259 5:1.42716 6:0.262692 7:1.73541 8:0.355906 9:2.16413 10:0.441435 11:0.23124 12:0.19688 13:0.0912658 14:0.285489 15:0.167835 16:0.760754 17:1.53538 18:1.58362 19:1.37149 20:0.986865
6 1:0.230803 2:1.16169 3:1.06138 4:0.219026 5:1.34173 6:0.210521 7:1.58392 8:0.343972 9:2.42862 10:0.427763 11:0.154368 12:0.0574261 13:0.131336 14:0.36824 15:0.138277 16:0.827881 17:1.29309 18:1.27856 19:0.914397 20:0.877541
6 1:0.330906 2:0.903968 3:1.24259 4:0.135387 5:1.48198 6:0.153059 7:1.70833 8:0.328685 9:2.23481 10:0.477277 11:0.114325 12:0.209036 13:0.0837458 14:0.202216 15:0.310802 16:0.813121 17:1.53074 18:1.30506 19:1.07499 20:0.805169
6 1:2.20661 2:1.14771 3:1.18534 4:0.280522 5:1.30516 6:0.255982 7:1.82902 8:0.268864 9:2.65839 10:0.226851 11:0.174245 12:0.189066 13:0.0722136 14:0.37218 15:0.399422 16:0.628493 17:1.42127 18:1.06625 19:0.815044 20:0.607568
9 1:0.274494 2:0.744922 3:0.983406 4:0.216005 5:1.31798 6:0.482054 7:1.7418 8:0.574793 9:2.25353 10:0.550624 11:0.29294 12:0.401768 13:0.819749 14:0.772191 15:0.352515 16:1.02678 17:0.813672 18:0.668079 19:0.529078 20:0.646914
9 1:0.525531 2:0.782537 3:1.03295 4:0.177953 5:1.39277 6:0.372013 7:1.76883 8:0.517764 9:2.24659 10:0.500474 11:0.262984 12:0.368742 13:0.717234 14:0.556714 15:0.325526 16:0.952213 17:0.945654 18:0.681412 19:0.554417 20:0.662264
